Authors                                      	   Record Count	         % of 547
Grindrod P                                   	              3	     0.548
Grining K                                    	              1	     0.183
Gronchi G                                    	              1	     0.183
Gross T                                      	              1	     0.183
Grossman H                                   	              1	     0.183
Groth P                                      	              1	     0.183
Grubelnik V                                  	              1	     0.183
Grujic J                                     	              1	     0.183
Gu JR                                        	              1	     0.183
Gu X                                         	              1	     0.183
Guan L                                       	              1	     0.183
Guazzini A                                   	              1	     0.183
Guedes GR                                    	              1	     0.183
Guerrero K                                   	              1	     0.183
Gueuning M                                   	              1	     0.183
Guex G                                       	              1	     0.183
Guha A                                       	              1	     0.183
Guha P                                       	              1	     0.183
Guillot S                                    	              1	     0.183
Gul H                                        	              1	     0.183
Gulden TR                                    	              1	     0.183
Gunter J                                     	              1	     0.183
Guo CJ                                       	              1	     0.183
Guo D                                        	              1	     0.183
Guo WS                                       	              1	     0.183
Gupta H                                      	              1	     0.183
Gupta S                                      	              1	     0.183
Gursoy F                                     	              1	     0.183
Gururaj K                                    	              1	     0.183
Gutfraind A                                  	              2	     0.366
Guzman GEC                                   	              2	     0.366
González-bailón S                            	              1	     0.183
González-meléndrez A                         	              1	     0.183
Gonçalves S                                  	              1	     0.183
Goñi J                                       	              1	     0.183
Gutiérrez-gómez L                            	              1	     0.183
Gómez-gardeñes J                             	              1	     0.183
Ha J                                         	              1	     0.183
Hachen DS                                    	              1	     0.183
Hackl J                                      	              1	     0.183
Hajihashemi M                                	              1	     0.183
Hake AM                                      	              1	     0.183
Halappanavar M                               	              1	     0.183
Hamon TR                                     	              1	     0.183
Hamzaoui A                                   	              1	     0.183
Hancock ER                                   	              7	     1.280
Hanjalic A                                   	              1	     0.183
Hankin C                                     	              1	     0.183
Hansen P                                     	              1	     0.183
Harding S                                    	              1	     0.183
Hardy P                                      	              1	     0.183
Harkin AA                                    	              1	     0.183
Harless K                                    	              1	     0.183
Hart D                                       	              1	     0.183
Hartnett GS                                  	              1	     0.183
Haruna T                                     	              1	     0.183
Harvey D                                     	              1	     0.183
Haslett G                                    	              1	     0.183
Hatami J                                     	              1	     0.183
Hatano N                                     	              1	     0.183
Hautphenne S                                 	              1	     0.183
Havlin S                                     	              4	     0.731
Hayes J                                      	              1	     0.183
Haykin S                                     	              1	     0.183
Hazan A                                      	              1	     0.183
He D                                         	              1	     0.183
He S                                         	              1	     0.183
Hefti F                                      	              1	     0.183
Heidebrink JL                                	              1	     0.183
Hergesheimen L                               	              1	     0.183
Hergesheimer L                               	              1	     0.183
Hermjakob H                                  	              1	     0.183
Hernando R                                   	              1	     0.183
Herring S                                    	              1	     0.183
Herrmann HJ                                  	              1	     0.183
Hershberg U                                  	              1	     0.183
Hertzberg VS                                 	              1	     0.183
Herzoff J                                    	              1	     0.183
Hetelle J                                    	              1	     0.183
Heyn C                                       	              1	     0.183
Higham DJ                                    	              4	     0.731
Higham NJ                                    	              1	     0.183
Hines DE                                     	              1	     0.183
Hirst G                                      	              1	     0.183
Hogie L                                      	              1	     0.183
Holtzman D                                   	              1	     0.183
Hone A                                       	              1	     0.183
Honig LS                                     	              1	     0.183
Horadam KJ                                   	              1	     0.183
Hoscheit P                                   	              1	     0.183
Hosein C                                     	              1	     0.183
Hosseini B                                   	              1	     0.183
House T                                      	              1	     0.183
Householder E                                	              1	     0.183
