Affiliations                                 	   Record Count	         % of 301
UNIVERSITY OF TORONTO                        	              3	     0.997
UNIVERSITY OF TRENTO                         	              1	     0.332
UNIVERSITY OF TRIESTE                        	              2	     0.664
UNIVERSITY OF TWENTE                         	              2	     0.664
UNIVERSITY OF UDINE                          	              1	     0.332
UNIVERSITY OF VERMONT                        	              2	     0.664
UNIVERSITY OF VIENNA                         	              1	     0.332
UNIVERSITY OF VIRGINIA                       	              2	     0.664
UNIVERSITY OF WARSAW                         	              2	     0.664
UNIVERSITY OF WASHINGTON                     	              6	     1.993
UNIVERSITY OF WASHINGTON SEATTLE             	              6	     1.993
UNIVERSITY OF WATERLOO                       	              1	     0.332
UNIVERSITY OF WISCONSIN MADISON              	              1	     0.332
UNIVERSITY OF WISCONSIN SYSTEM               	              1	     0.332
UNIVERSITY OF ZURICH                         	              1	     0.332
UNIVERSITY SAINT LOUIS BRUXELLES             	              1	     0.332
UNIVERSITY SYSTEM OF GEORGIA                 	              3	     0.997
UNIVERSITY SYSTEM OF MARYLAND                	              4	     1.329
UNIVERSITY SYSTEM OF OHIO                    	              7	     2.326
UNU CRIS                                     	              1	     0.332
UPPSALA UNIVERSITY                           	              2	     0.664
US ARMY RES LAB SOUTH                        	              1	     0.332
US ARMY RESEARCH DEVELOPMENT ENGINEERING COMM	              2	     0.664
AND RDECOM                                   	               	          
US ARMY RESEARCH LABORATORY ARL              	              2	     0.664
UTRECHT UNIVERSITY                           	              1	     0.332
VANDERBILT UNIVERSITY                        	              1	     0.332
VIENNA UNIVERSITY OF ECONOMICS BUSINESS      	              1	     0.332
VILLANOVA UNIVERSITY                         	              1	     0.332
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSI	              1	     0.332
TY                                           	               	          
VRIJE UNIVERSITEIT AMSTERDAM                 	              3	     0.997
VTT TECHNICAL RESEARCH CENTER FINLAND        	              1	     0.332
WAKE FOREST UNIVERSITY                       	              1	     0.332
WARSAW SCHOOL OF ECONOMICS                   	              2	     0.664
WARSAW UNIVERSITY OF TECHNOLOGY              	              1	     0.332
WASEDA UNIVERSITY                            	              2	     0.664
WASHINGTON UNIVERSITY WUSTL                  	              2	     0.664
WELLCOME TRUST SANGER INSTITUTE              	              1	     0.332
WEST VIRGINIA UNIVERSITY                     	              2	     0.664
WESTERN UNIVERSITY UNIVERSITY OF WESTERN ONTA	              1	     0.332
RIO                                          	               	          
WROCLAW UNIVERSITY OF SCIENCE TECHNOLOGY     	              1	     0.332
YALE UNIVERSITY                              	              3	     0.997
YESHIVA UNIVERSITY                           	              1	     0.332
