Authors                                      	   Record Count	       % of 1,557
Brass D                                      	              1	     0.064
Brauer J                                     	              1	     0.064
Brazil N                                     	              1	     0.064
Brazil T                                     	              1	     0.064
Brazill TJ                                   	              1	     0.064
Breland JW                                   	              1	     0.064
Brennecke J                                  	              1	     0.064
Brewer BB                                    	              1	     0.064
Bright DA                                    	              1	     0.064
Brodine S                                    	              1	     0.064
Brooks B                                     	              1	     0.064
Broska D                                     	              1	     0.064
Brown E                                      	              1	     0.064
Brown ME                                     	              1	     0.064
Browne P                                     	              1	     0.064
Browning BA                                  	              1	     0.064
Browning CR                                  	              1	     0.064
Brunetto D                                   	              1	     0.064
Bryden J                                     	              1	     0.064
Brynildsen WD                                	              1	     0.064
Brzezinski M                                 	              1	     0.064
Buch-hansen H                                	              1	     0.064
Buchler N                                    	              1	     0.064
Buhr H                                       	              1	     0.064
Bui BKH                                      	              1	     0.064
Buijs VL                                     	              1	     0.064
Bullo F                                      	              1	     0.064
Burchard J                                   	              1	     0.064
Burg T                                       	              1	     0.064
Burger MJ                                    	              1	     0.064
Burk WJ                                      	              1	     0.064
Burton ML                                    	              1	     0.064
Bustamante X                                 	              1	     0.064
Butenko S                                    	              1	     0.064
Butts C                                      	              1	     0.064
Barthélemy M                                 	              1	     0.064
Benítez-andrades JA                          	              1	     0.064
Berán E                                      	              1	     0.064
Beáta D                                      	              1	     0.064
Bolíbar M                                    	              1	     0.064
Bringé A                                     	              1	     0.064
Bähr S                                       	              1	     0.064
Bürger M                                     	              1	     0.064
Büttner K                                    	              1	     0.064
Cachia R                                     	              1	     0.064
Cafiero F                                    	              1	     0.064
Caldara M                                    	              1	     0.064
Caldarelli G                                 	              1	     0.064
Caldeira GA                                  	              1	     0.064
Calder CA                                    	              1	     0.064
Calloway M                                   	              1	     0.064
Calvao AM                                    	              1	     0.064
Cameron C                                    	              1	     0.064
Campana P                                    	              1	     0.064
Cao M                                        	              1	     0.064
Cao ZL                                       	              1	     0.064
Capobianco M                                 	              1	     0.064
Capobianco MF                                	              1	     0.064
Cappella E                                   	              1	     0.064
Carder P                                     	              1	     0.064
Cardon D                                     	              1	     0.064
Cardona A                                    	              1	     0.064
Carkoglu A                                   	              1	     0.064
Carlson JW                                   	              1	     0.064
Carnabuci G                                  	              1	     0.064
Carnegie NB                                  	              1	     0.064
